date,description,south_rating,kaanapali_rating,northwest_rating
"Tuesday, January 11 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Isolated showers. Windy
High Surf Warining. Huge waves this PM
Inisde Kapalua bay waves are smaller early

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expeected. Northeast wind
Powerful waves in areas & rising
South face of Black Rock has smaller waves

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Increasing north wind
Waves are big & powerful throughout
Mile Marker 14 has small waves this AM",3.0,5.0,2.0
"Friday, January 14.2022","North West (epili,kapatua, Honolua)

Mostly sunny, light east wind
Waves still breaking-getting bigger
Smaller waves inside Kapalua bay

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Light winds
Smaller waves may pick up later
South face of Black Rock is best

South Shore (oiowalu, kinei, Makena Landing)

Partly to mostly sunny, Light wind
Waves are powerful throughout the Zone
Mile Marker 14/Olowalu area=smaller waves",3.5,7.0,4.0
"Friday, January 28 2022","North West (epili,kapatua, Honolua)

Sunny with a light east breeze
Waves in areas & may pick up later
Napili bay, Kapalua bay & Honolua good

Near Ka'anapali (ick rock. airport Kahekil

Sunshine & light wiinds expected all day
Waves slightly up in areas. May increase
Kahekili & Black Rock are great & clear

South Shore (oiowalu, kinei, Makena Landing)

Sunny with a light sea breeze this PM
Waves up in areas, may pick up later
Kam 1 & north end of Ulua have smallest waves",6.0,75,7.0
"Saturday, January 29 2022","North West (epili,kapatua, Honolua)

Sunny after isolated AM showers. Breezy
Waves are expected to pick up later
Kapalua Bay likely nice all day

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies. Light east afternoon wind
Waves & currents may increase later
Kahekili & Black Rock both lookin great

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & west breeze this afternoon
Waves on the rise throughout the day
Ulua beach & Kam 1 have smaller waves",5.5,75,6.0
"Saturday, January 15 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Onshore breeze
Powerful waves getting bigger!
Smallest waves inside Kapalua bay

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny beach day. Onshore breeze
Waves are breaking. Bigger waves at Kahekili
South face of Black Rock is looking best

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny with increasing clouds
Waves are powerful all over the area
Smaller waves at kamaole beach 1",3.0,5.5,3.5
"Monday, January 17 2022","North West (epili,kapatua, Honolua)

Sunny skies with light wind
Powerful waves in exposed areas
Inside Kapalua Bay & parts of Napili good

Near Ka'anapali (ick rock. airport Kahekil

Sunny clear skies. Light onshore breeze
Elevated waves in areas
Kahekili improved, Black Rock is really nice

South Shore (oiowalu, kinei, Makena Landing)

Sunny for most of the day. Onshore breeze
Waves are pretty powerful at most spots
Mile Marker 14 is best chance for snorkeling",4.5,75,5.5
"Saturday, January 22 2022","North West (epili,kapatua, Honolua)

Mostly to partly sunny. Strong winds
HIGH SURF WARNING. Dangerous waves!
Slighty smaller waves inside Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Increasing northeast winds
Waves are up & are pretty powerful
South face of Black Rock has smaller waves

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Increasing PM winds
Dangerous waves & currents throughout
Kam 1 has slightly smaller waves",2.0,4.5,1.5
"Sunday, January 16 2022","North West (epili,kapatua, Honolua)

Clear sunny skies, light wind
Waves have picked up & getting bigger
Smallest waves in Napili & Kapalua Bays

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & light winds expected
Elevated waves in some areas
South face of Black Rock looking best

South Shore (oiowalu, kinei, Makena Landing)

Sunshien & light wind. PM clouds possible
Waves are powerful throughout the Zone
Mile Marker 14 has the smallest waves",3.5,7.0,3.0
"Thursday, January 13 2022","North West (epili,kapatua, Honolua)

Mostly sunny, light east wind
High Surf Advisory- waves rising again
Smaller waves inside Kapalua bay

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Light winds
Waves in areas but they are smaller
South face of Black Rock is best

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny, light onshore breeze
Waves are still hazardous throughout,
Mile Marker 14 has the smallest waves",3.5,6.0,3.0
"Tuesday, January 25 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Wind gusts near 25 mph
Waves are a little smaller in areas
Inside Kapalua bay has improved

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Ligther PM wind
Occasional larger waves but much smaller
Kahekili improved. Black Rock is best

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Increasing PM wind
Waves are slighity smaller but powerful
Mile Marker 14 closest chance for snorkeling",4.0,7.0,5.0
